CargoOK	IdCargo_IdTipo_IdTipo2
2132 Int Movil Emp Plu	Fijos-Datos-BAM
2136 Int Movil Emp Plu	Fijos-Datos-BAM
2215 Corp Pro 15 GB SE	Fijos-Datos-BAM
5G ULTRA WIDEBAND	Fijos-Datos-BAM
5g Ultra Wideband Access	Fijos-Datos-BAM
Abono 3G Ilimitado	Fijos-Datos-BAM
Abono Datos BAM	Fijos-Datos-BAM
Abono Datos bonificado	Fijos-Datos-BAM
Ajustes-AJ CARGO POR REACTIV	Fijos-Datos-BAM
Assinatura Tablet e Modem	Fijos-Datos-BAM
Atlantida basico hasta 50 lin.	Fijos-Datos-BAM
BAM 100 GB Limitado CE Empresa	Fijos-Datos-BAM
BAM 100 GB Limitado CE Empresa - BAM Controlada	Fijos-Datos-BAM
BAM 4G_5GB EMPRESAS_CORP_SD	Fijos-Datos-BAM
BAM Controlada	Fijos-Datos-BAM
BAM EMPRESAS 50GB	Fijos-Datos-BAM
BAM EMPRESAS S 50GB	Fijos-Datos-BAM
BAM Libre 100 GB Empresas	Fijos-Datos-BAM
BAM Libre 100 GB Empresas - Internet	Fijos-Datos-BAM
BAM Libre 50 GB Empresas	Fijos-Datos-BAM
BAM Libre 50 GB Empresas - Internet	Fijos-Datos-BAM
BAM Libre 80 GB Empresas	Fijos-Datos-BAM
BAM05 - Plan Internet móvil 3GB	Fijos-Datos-BAM
BAM06 - Plan Internet móvil 5GB	Fijos-Datos-BAM
BAM15 1 TB	Fijos-Datos-BAM
BAM17 - Plan Internet móvil 3GB	Fijos-Datos-BAM
BAM18 - Plan Internet móvil 5GB	Fijos-Datos-BAM
BAM1C - Plan Internet móvil 5G	Fijos-Datos-BAM
BAM1C Internet a granel	Fijos-Datos-BAM
BAM21 - Plan Internet móvil 5G	Fijos-Datos-BAM
BAM22 - Plan Internet móvil 10GB	Fijos-Datos-BAM
BAM23 - Plan Internet móvil 5G	Fijos-Datos-BAM
BAM25 - Plan Internet móvil 6GB	Fijos-Datos-BAM
BAM26 - Plan Internet móvil 10GB	Fijos-Datos-BAM
BAM27 - Plan Internet móvil 16GB	Fijos-Datos-BAM
BAM29 - 7 GB	Fijos-Datos-BAM
BAM30 - Plan Internet móvil 10G	Fijos-Datos-BAM
BAM31 - Internet 3 GB	Fijos-Datos-BAM
BAM32 - Plan Internet móvil 5GB	Fijos-Datos-BAM
BAM33 - Plan Internet móvil 10GB	Fijos-Datos-BAM
BAM33 5 GB Internet	Fijos-Datos-BAM
BAM34 - Plan Internet móvil 20 GB	Fijos-Datos-BAM
BAM40 5 GB Internet	Fijos-Datos-BAM
BAM40 Bonificación Plan	Fijos-Datos-BAM
BAM40 Proporcional 5 GB Internet	Fijos-Datos-BAM
