CargoOK	IdCargo	IdTipo	IdTipo2
Internet ilimitado NEG (IEM)	Fijos	Datos	Smartphone
Integrante RPM	Fijos	Varios	Otros
IM EMP Control 3 GB	Fijos	Datos	BAM
Abono Roaming 60 Min Zona 2 y 6	Fijos	Voz	Internacional
Garantía Cta y Orden Assurant	Fijos	Varios	Garantias
Garantía Cta y Orden Assurant	Fijos	Varios	Garantias
Marcación  Abreviada	Fijos	Varios	Otros
M2M Datos 50 mb TE	Fijos	Varios	Otros
M2M Datos 5 mb	Fijos	Varios	Otros
Llamadas Sal. Perm. y Restring	Fijos	Varios	Perfiles
Llamadas Ent. Perm. y Restring	Fijos	Varios	Perfiles
Internet en tu Movistar 3GB	Fijos	Datos	Smartphone
Interflota Personal	Fijos	Varios	Otros
GPRS Corp. 8 Mb	Fijos	Datos	Smartphone
Gestion Remota de Dispositivos	Fijos	Varios	MDM
Geocontrol 90	Fijos	Varios	Otros
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Gastos Administrativos	Fijos	Varios	Otros
Garantía	Fijos	Varios	Garantias
Facturación Electrónica	Fijos	Varios	Otros
Facturación  Detallada	Fijos	Varios	Otros
Facturación Electrónica	Fijos	Varios	Otros
Facturación  Detallada	Fijos	Varios	Otros
EMPRESAS 500 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 100 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 500 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 500 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 100 MIN RCM CLR	Fijos	Voz	Nacional
Plan Seguro Localización GGCC	Fijos	Varios	Otros
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Plan Grupo Business Top Nacional 245	Fijos	Voz	Nacional
Plan Datos Ilimitado GGCC	Fijos	Datos	BAM
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Abono 3G Ilimitado	Fijos	Datos	BAM
Detalle electrónico	Fijos	Varios	Otros
Detalle electrónico	Fijos	Varios	Otros
Control de Frío Plus 1-5	Fijos	Varios	Otros
Consumos On Line	Fijos	Varios	Otros
Conectividad Basica 50 MB	Fijos	Datos	Smartphone
Conectividad Basica 5 MB	Fijos	Datos	Smartphone
Red Privada Virtual Claro	Fijos	Varios	Otros
Cargos Proporcionales y Reintegros	Fijos	Varios	Otros
Cargos Administrativos	Fijos	Varios	Otros
Paquete de SMS	Fijos	Varios	Nacional SMS
Facturación Electrónica	Fijos	Varios	Otros
WVPN TEMPRESAS GENERICO	Fijos	Varios	Otros
WVPN (APN Dedicado)	Fijos	Varios	Otros
Wireless EmpresasAPN Ilimit MD	Fijos	Varios	Otros
Wireless Empresas APN Genérico	Fijos	Varios	Otros
Wireless Empresas APN Dedicado	Fijos	Varios	Otros
Tareas de Administración Movistar	Fijos	Varios	Otros
Soporte MDM	Fijos	Varios	MDM
Restricción de MT y MO	Fijos	Varios	Perfiles
Restricción de ID GSM	Fijos	Varios	Perfiles
Restricción de datos	Fijos	Varios	Perfiles
Prestación RCM Empresas	Fijos	Varios	Otros
Plan Roaming 40% Off	Fijos	Voz	Internacional
Plan Roaming 20% Off	Fijos	Voz	Internacional
Plan Roaming 10% Off	Fijos	Voz	Internacional
Plan Negocios 300 Min RCM CL	Fijos	Voz	Nacional
Plan Internet Móvil Ilimitado	Fijos	Datos	BAM
Plan Empresas 400 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 300 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 300 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 200 Min RCM CL	Fijos	Voz	Nacional
Plan Empresas 200 Min RCM CL	Fijos	Voz	Nacional
Plan Empresas 100 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 100 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 0 Min RCM CLR	Fijos	Voz	Nacional
Plan Control RCM Negocios	Fijos	Voz	Nacional
Perfil de restr Y permisos	Fijos	Varios	Perfiles
M2M Datos 50 mb TE	Fijos	Varios	Otros
M2M Datos 5 mb	Fijos	Varios	Otros
Límite de perfiles	Fijos	Varios	Perfiles
Internet ilimitado NEG (IEM)	Fijos	Datos	Smartphone
Internet 3G Ilimitado	Fijos	Datos	Smartphone
Internet  Movistar Ilimitado	Fijos	Datos	Smartphone
Integrante RPM	Fijos	Varios	Otros
IM EMP Control 3 GB	Fijos	Datos	BAM
Garantía Cta y Orden Assurant	Fijos	Varios	Garantias
Garantía Cta y Orden Assurant	Fijos	Varios	Garantias
Gestion Remota de Dispositivos	Fijos	Varios	MDM
Gastos Administrativos	Fijos	Varios	Otros
Gastos Administrativos	Fijos	Varios	Otros
Facturación  Detallada	Fijos	Varios	Otros
EMPRESAS 500 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 100 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 500 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 500 MIN RCM CLR	Fijos	Voz	Nacional
EMPRESAS 100 MIN RCM CLR	Fijos	Voz	Nacional
Detalle electrónico	Fijos	Varios	Otros
Detalle electrónico	Fijos	Varios	Otros
Conectividad Basica 50 MB	Fijos	Datos	Smartphone
Conectividad Basica 5 MB	Fijos	Datos	Smartphone
Plan BlackBerry Profesional BIS	Fijos	Datos	Blackberry
Plan BlackBerry Profesional BIS	Fijos	Datos	Blackberry
Plan BlackBerry Profesional BIS	Fijos	Datos	Blackberry
500 SMS Multidestino	Fijos	Varios	Nacional SMS
500 SMS Multidestino	Fijos	Varios	Nacional SMS
40 SMS Multidestino	Fijos	Varios	Nacional SMS
40 SMS Multidestino	Fijos	Varios	Nacional SMS
40 SMS Multidestino	Fijos	Varios	Nacional SMS
225 SMS Multidestino	Fijos	Varios	Nacional SMS
225 SMS Multidestino	Fijos	Varios	Nacional SMS
160 SMS Multidestino	Fijos	Varios	Nacional SMS
110 SMS Multidestino	Fijos	Varios	Nacional SMS
110 SMS Multidestino	Fijos	Varios	Nacional SMS
100 SMS Multidestino	Fijos	Varios	Nacional SMS
100 SMS Multidestino	Fijos	Varios	Nacional SMS
Servicio Mi Numero Personal	Fijos	Varios	Perfiles
Servicio de Datos	Fijos	Datos	Smartphone
Servicio Stop Personal	Fijos	Varios	Perfiles
Red Privada Nacional	Fijos	Varios	Otros
Red Privada Nacional	Fijos	Varios	Otros
Plan Seguro Localización GGCC	Fijos	Varios	Otros
Plan M2M Transmisión de Datos	Fijos	Varios	Otros
Plan M2M Solo Datos + SMS	Fijos	Varios	Otros
Plan M2M Seguro Localización	Fijos	Varios	Otros
Plan M2M Localización Móv. GSM	Fijos	Varios	Otros
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Plan Grupo Business Top Nacional 245	Fijos	Voz	Nacional
Plan Datos Ilimitado GGCC	Fijos	Datos	BAM
Plan Business Nacional 620 GC	Fijos	Voz	Nacional
Plan Business Nacional 245 GC	Fijos	Voz	Nacional
Pack Roaming 100 Min Zona 2 y 6	Fijos	Voz	Internacional
Pack 1	Fijos	Varios	Otros
Numeración Privada	Fijos	Varios	Otros
Marcación  Abreviada	Fijos	Varios	Otros
Llamadas Sal. Perm. y Restring	Fijos	Varios	Perfiles
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Gastos Administrativos	Fijos	Varios	Otros
Facturación Electrónica	Fijos	Varios	Otros
Facturación  Detallada	Fijos	Varios	Otros
Facturación Electrónica	Fijos	Varios	Otros
Control de Frío Plus 1-5	Fijos	Varios	Otros
Abono Roaming 50% desc. Zona 2 y 6	Fijos	Voz	Internacional
Abono 3G Ilimitado	Fijos	Datos	BAM
Abono 3G Ilimitado	Fijos	Datos	BAM
Abono Roaming 30% desc. Zona 3 y 4	Fijos	Voz	Internacional
Red Privada Virtual Claro	Fijos	Varios	Otros
Red Privada Virtual Claro	Fijos	Varios	Otros
Plan BlackBerry Profesional BIS	Fijos	Datos	Blackberry
Plan BlackBerry Profesional BIS	Fijos	Datos	Blackberry
Plan BlackBerry Profesional BIS	Fijos	Datos	Blackberry
AVL -  LOCAL - AR	Fijos	Varios	Otros
Alquiler	Fijos	Varios	Otros
Abono Roaming 30% desc. Zona 2 y 6	Fijos	Voz	Internacional
Abono Roaming 15% desc. Zona 2 y 6	Fijos	Voz	Internacional
Abono 3G Ilimitado	Fijos	Datos	BAM
Abono 3G Ilimitado	Fijos	Datos	BAM
Abono Roaming 30% desc. Zona 3 y 4	Fijos	Voz	Internacional
Abono Roaming 15% desc. Zona 5	Fijos	Voz	Internacional
Abono Roaming 15% desc. Zona 3 y 4	Fijos	Voz	Internacional
Abono Roaming 50% desc. Zona 5	Fijos	Datos	Internacional
Abono Roaming 50% desc. Zona 3 y 4	Fijos	Datos	Internacional
Abono Roaming 50% desc. Zona 2 y 6	Fijos	Datos	Internacional
500 SMS Multidestino	Fijos	Varios	Nacional SMS
500 SMS Multidestino	Fijos	Varios	Nacional SMS
40 SMS Multidestino	Fijos	Varios	Nacional SMS
40 SMS Multidestino	Fijos	Varios	Nacional SMS
225 SMS Multidestino	Fijos	Varios	Nacional SMS
225 SMS Multidestino	Fijos	Varios	Nacional SMS
160 SMS Multidestino	Fijos	Varios	Nacional SMS
160 SMS Multidestino	Fijos	Varios	Nacional SMS
110 SMS Multidestino	Fijos	Varios	Nacional SMS
110 SMS Multidestino	Fijos	Varios	Nacional SMS
100 SMS Multidestino	Fijos	Varios	Nacional SMS
100 SMS Multidestino	Fijos	Varios	Nacional SMS
100 SMS Multidestino	Fijos	Varios	Nacional SMS
Internet en tu Movistar 1GB	Fijos	Datos	Smartphone
Internet 3G Ilimitado	Fijos	Datos	Smartphone
Internet  Movistar Ilimitado	Fijos	Datos	Smartphone
Límite de perfiles	Fijos	Varios	Perfiles
225 SMS Multidestino	Fijos	Varios	Nacional SMS
Abono Roaming 50% desc. Zona 2 y 6	Fijos	Voz	Internacional
40 SMS Multidestino	Fijos	Varios	Nacional SMS
Numeración Privada	Fijos	Varios	Otros
Números Gratis 10 Líneas	Fijos	Varios	Otros
OFM11	Fijos	Voz	Nacional
Pack 1	Fijos	Varios	Otros
Pack 200 SMS	Fijos	Varios	Nacional SMS
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Pack Llamadas Ilimitadas a Claro	Fijos	Voz	Nacional
Pack Datos GPRS Libres	Fijos	Datos	Smartphone
Pack Llamadas Ilimitadas a Claro	Fijos	Voz	Nacional
Pack Minutos Aire Libre	Fijos	Voz	Nacional
Pack Roaming 100 Min Zona 2 y 6	Fijos	Voz	Internacional
Pack SMS ilimitado Abono Libre	Fijos	Varios	Nacional SMS
Pack SMS Libres	Fijos	Varios	Nacional SMS
Paquete Basico GSM	Fijos	Varios	Otros
Paquete Básico GSM Cuenta Segura	Fijos	Varios	Otros
Perfil de restr Y permisos	Fijos	Varios	Perfiles
Plan Business Nacional 245 GC	Fijos	Voz	Nacional
Plan Business Nacional 620 GC	Fijos	Voz	Nacional
Plan Control A12	Fijos	Voz	Nacional
Plan Control RCM Negocios	Fijos	Voz	Nacional
Plan Datos Ilimitado GGCC	Fijos	Datos	BAM
Plan Empresas 0 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 100 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 100 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 100 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 100 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 200 Min RCM CL	Fijos	Voz	Nacional
Plan Empresas 200 Min RCM CL	Fijos	Voz	Nacional
Plan Empresas 200 Min RCM CL	Fijos	Voz	Nacional
Plan Empresas 300 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 300 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 300 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 300 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 400 Min RCM CLR	Fijos	Voz	Nacional
Plan Empresas 400 Min RCM CLR	Fijos	Voz	Nacional
Plan Grupo Business Top Nacional 245	Fijos	Voz	Nacional
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Plan Internet Móvil Ilimitado	Fijos	Datos	BAM
Plan M2M Localización Móv. GSM	Fijos	Varios	Otros
Plan M2M Seguro Localización	Fijos	Varios	Otros
Plan M2M Solo Datos + SMS	Fijos	Varios	Otros
Plan M2M Transmisión de Datos	Fijos	Varios	Otros
Plan MDS Empresas	Fijos	Varios	Otros
Plan Negocios 300 Min RCM CL	Fijos	Voz	Nacional
Plan Roaming 10% Off	Fijos	Voz	Internacional
Plan Roaming 20% Off	Fijos	Voz	Internacional
Plan Roaming 40% Off	Fijos	Voz	Internacional
Plan Seguro Localización GGCC	Fijos	Varios	Otros
PLAN TECHINT BASICO	Fijos	Voz	Nacional
PLAN TECHINT FULL	Fijos	Voz	Nacional
Plan trama Emp 160000 min CLR	Fijos	Voz	Nacional
Prestación RCM Empresas	Fijos	Varios	Otros
Prip! 200 Pool	Fijos	Voz	Nacional
Prip! Base 100 Empresas	Fijos	Voz	Nacional
