Cargo	IdCargo	IdTipo	IdTipo2	CargoOK
 1 GB Internet	Fijos	Datos	Smartphone	 ACI92 1 GB Internet
 Minutos Ilimitados otros destinos	Fijos	Voz	Nacional	 ACI92 Minutos Ilimitados otros destinos
ACI95 Minutos Ilimitados otros destinos	Fijos	Voz	Nacional	 ACI95 Minutos Ilimitados otros destinos
 Ajuste Avería en Servicio	Variables	Varios	Otros	 Ajuste Avería en Servicio
Contingencia por AverÃ­a	Variables	Varios	Otros	 Ajuste Avería en Servicio
Ajuste AverÃ­a en Servicio	Variables	Varios	Otros	 Ajuste Avería en Servicio
Ajuste Avería en Servicio	Variables	Varios	Otros	 Ajuste Avería en Servicio
 Ajuste por redondeo	Variables	Varios	Otros	 Ajuste por redondeo
ajuste por redondeo mes actual	Variables	Varios	Otros	 Ajuste por redondeo
PC36C Internet Roaming Eslovenia	Variables	Internacional	Roaming Datos	 Internet Roaming Eslovenia
BC04C Internet Roaming Eslovenia	Variables	Internacional	Roaming Datos	 Internet Roaming Eslovenia
BC05C Internet Roaming Eslovenia	Variables	Internacional	Roaming Datos	 Internet Roaming Eslovenia
 Libres Clearing de servicios	Variables	Varios	Otros	 Libres Clearing de servicios
 Minutos libres a otras compañías	Variables	Plan	Voz Incluido	 Minutos libres a otras compañías
PE85C Minutos libres a otras compañías	Variables	Plan	Voz Incluido	 Minutos libres a otras compañías
PC05C Minutos libres a otras compañías	Variables	Plan	Voz Incluido	 Minutos libres a otras compañías
 Perc. IIBB CABA RG 296/19 3,00%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 1,50%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
NC Perc. IIBB CABA RG 296/19 0,50%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 0,10%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 0,20%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 4,00%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 1,00%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 2,00%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 3,50%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB CABA RG 296/19 0,50%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
NC Perc. IIBB CABA RG 296/19 0,20%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
NC Perc. IIBB CABA RG 352/22 0,20%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
NC Perc. IIBB CABA RG 352/22 3,00%	Impuestos	Percepcion	Percepcion	 Perc. IIBB CABA
 Perc. IIBB Neuquén RG 35/19 1,00% CM	Impuestos	Percepcion	Percepcion	 Perc. IIBB Neuquén RG 35/19
 PlanAbBundleCorp55	Fijos	Varios	Otros	 Plan Ab Bundle Corp 55
 Refacturación equipo	Variables	Varios	Equipos	 Refacturación equipo
 Refacturación Internet	Fijos	Datos	Smartphone	 Refacturación Internet
 Refacturación otros servicios	Variables	Varios	Otros	 Refacturación otros servicios
Crédito Samsung SM-A245M	Variables	Varios	Equipos	 Samsung SM-A245M
